acl	2.3.1-3
libcairo-gobject2	1.16.0-7
libcairo-perl	1.109-3+b1
libcairo-script-interpreter2	1.16.0-7
libcairo2	1.16.0-7
libcairomm-1.0-1v5	1.14.4-2
libcanberra-gtk3-0	0.30-10
libcanberra-gtk3-module	0.30-10
libcanberra0	0.30-10
libcap-ng0	0.8.3-1+b3
libcap2	1:2.66-4
libcap2-bin	1:2.66-4
libcbor0.8	0.8.0-2+b1
libcc1-0	12.2.0-14
libcddb2	1.3.2-7
libcdio-cdda2	10.2+2.0.1-1
libcdio-paranoia2	10.2+2.0.1-1
libcdio19	2.1.0-4
libcdparanoia0	3.10.2+debian-14
libcdr-0.1-1	0.1.6-2+b2
libcfitsio10	4.2.0-3
